Province_Number,Political_Subdivision_Segment,Projected_Longitude,Projected_Latitude,Unprojected_Latitude_Radians,Unprojected_Longitude/Radians
44,1,2342.78,990.22,0.16005,0.67349
44,1,2365.33,997.84,0.1603,0.67422
44,1,2387.04,995.54,0.16022,0.67493
44,1,2402.29,987.12,0.15995,0.67543
44,1,2409.5,979.48,0.1597,0.67567
44,1,2422.35,974.89,0.15955,0.67609
44,1,2436.84,978.7,0.15967,0.67656
44,1,2444.11,987.09,0.15995,0.6768
44,1,2462.63,993.19,0.16015,0.6774
44,1,2480.32,993.18,0.16015,0.67798
44,1,2497.19,985.53,0.1599,0.67853
44,1,2505.14,954.98,0.1589,0.67879
44,1,2503.49,938.95,0.15838,0.67874
44,1,2501.04,927.49,0.158,0.67866
44,1,2490.53,911.46,0.15748,0.67832
44,1,2477.63,902.31,0.15718,0.6779
44,1,2455.86,888.58,0.15673,0.67719
44,1,2448.58,875.6,0.15631,0.67695
44,1,2444.5,858.8,0.15576,0.67682
44,1,2438.04,850.41,0.15548,0.67661
44,1,2429.98,846.6,0.15536,0.67635
44,1,2409.83,838.21,0.15508,0.67569
44,1,2392.12,837.46,0.15506,0.67512
44,1,2368,845.88,0.15533,0.67433
44,1,2355.96,853.52,0.15558,0.67394
44,1,2354.37,860.4,0.15581,0.67388
44,1,2356.01,867.27,0.15603,0.67394
44,1,2361.68,879.48,0.15643,0.67412
44,1,2362.57,902.39,0.15718,0.67415
44,1,2353,924.54,0.1579,0.67383
44,1,2341,943.64,0.15853,0.67344
44,1,2334.66,969.61,0.15937,0.67323
45,1,2929.86,3716.79,0.24915,0.69255
45,1,2941.11,3738.4,0.24986,0.69292
45,1,2942.24,3752.45,0.25032,0.69296
45,1,2942.26,3765.43,0.25074,0.69296
45,1,2946.76,3776.23,0.2511,0.69311
45,1,2960.22,3784.88,0.25138,0.69355
45,1,2978.16,3788.12,0.25149,0.69415
45,1,2996.11,3796.76,0.25177,0.69474
45,1,3002.84,3802.17,0.25194,0.69497
45,1,3016.3,3809.73,0.25219,0.69541
45,1,3029.75,3814.05,0.25233,0.69586
45,1,3031.35,3813.94,0.25233,0.69591
45,1,3033.1,3812.01,0.25227,0.69597
45,1,3034.85,3810.23,0.25221,0.69603
45,1,3036.61,3808.31,0.25215,0.69609
45,1,3038.8,3806.68,0.25209,0.69616
45,1,3040.55,3804.9,0.25203,0.69622
45,1,3042.74,3803.27,0.25198,0.69629
