household_id,household_id2,rural,individual_id,individual_id2,saq01,saq02,saq03,saq06,saq08,hh_s1q00,hh_s1q02,hh_s1q03,hh_s1q04e,hh_s1q04h,hh_s1q05,hh_s1q07,hh_s1q08,hh_s1q09,hh_s1q10,hh_s1q26,hh_s1q27,hh_s1q31,hh_s1q32_a,hh_s1q32_b,hh_s1q33,hh_s1q34,hh_s1q35
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,2,1,1,2,,,0,1,6,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,2,2,,,,,,,,,,1,,1,GBRNA,6,1,9,6
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,2,3,,,,,,,,,,1,,1,GBRNA,6,1,9,6
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,2,4,,,,,,,,,,1,,2,,,,10,1
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,2,5,,,,,,,,,,1,,2,,,,10,1
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,2,6,,,,,,,,,,1,,2,,,,10,1
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,2,7,,,,,,,,,,1,,2,,,,10,1
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,2,8,,,,,,,,,,1,,2,,,,10,1
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,1,1,1,,,0,1,2,1,2,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,2,2,2,,,0,1,2,1,1,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,3,3,1,,,0,1,1,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,4,3,1,,,0,1,1,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,5,3,2,,,0,1,1,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,6,3,1,,,0,,,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,7,3,2,,,0,1,1,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,8,3,2,,,0,,,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,17,9,3,2,,,0,,,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,34,1,1,2,,,0,1,6,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,49,1,1,2,,,0,1,4,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,49,2,,,,,,,,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,49,3,3,2,,,0,1,1,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,49,4,3,2,,,1,1,1,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,64,1,1,1,,,0,1,2,1,2,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,64,2,2,2,,,0,1,2,1,1,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,64,3,,,,,,,,,,1,,1,ERSHA,6,1,1,1
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,64,4,,,,,,,,,,1,,1,ERSHA,6,1,1,1
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,80,1,1,2,,,0,1,4,,,,,,,,,,
1.0101E+12,1.01011E+16,1,1.0101E+14,1.01E+18,1,1,1,16,80,2,3,1,,,0,1,1,,,,,,,,,,
