household_id,household_id2,rural,pw_w3,saq01,saq03,saq06,saq08,hh_s5cq03
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,2,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,17,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,34,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,49,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,64,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,80,2
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,1
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,1
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,1
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,36,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,1
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,1
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,1
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,1
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,16,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,40,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,52,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,64,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,76,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,88,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,100,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,112,1
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,124,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,136,1
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,4,2
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,19,2
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,34,1
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,49,2
1.0103E+12,1.01031E+16,1,778.7767944,1,3,18,51,1
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,69,2
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,85,2
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,100,2
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,115,2
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,130,1
1.0103E+12,1.01031E+16,1,3971.762207,1,3,18,145,1
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,1,1
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,25,2
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,49,2
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,73,2
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,97,1
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,121,2
1.0105E+12,1.01051E+16,1,2491.409424,1,5,2,142,2
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,145,2
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,169,1
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,193,1
1.0105E+12,1.01051E+16,1,3921.960205,1,5,2,217,2
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,2,2
1.0106E+12,1.01061E+16,1,270.4868469,1,6,4,14,2
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,21,1
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,39,1
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,57,1
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,75,2
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,94,2
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,112,2
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,130,1
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,148,2
1.0106E+12,1.01061E+16,1,270.4868469,1,6,4,160,2
1.0106E+12,1.01061E+16,1,3426.166992,1,6,4,167,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,12,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,35,1
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,58,1
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,81,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,104,1
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,127,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,150,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,173,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,196,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,219,1
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,242,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,265,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,288,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,311,2
1.0107E+12,1.0107E+16,3,4280.703613,1,7,1,334,1
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,2,1
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,12,2
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,17,2
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,27,2
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,47,2
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,62,2
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,77,2
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,92,1
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,107,2
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,122,2
1.0201E+12,1.02011E+16,1,3320.481934,1,1,2,137,2
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,8,2
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,34,2
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,47,2
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,73,2
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,86,1
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,99,2
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,112,1
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,125,1
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,151,1
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,164,2
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,177,1
1.0202E+12,1.0202E+16,3,1781.978394,1,2,1,190,2
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,2,2
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,17,1
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,28,2
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,33,1
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,48,2
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,63,1
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,78,1
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,108,2
1.0202E+12,1.02021E+16,1,397.631958,1,2,8,120,2
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,124,2
1.0202E+12,1.02021E+16,1,3558.806152,1,2,8,139,1
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,2,2
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,17,2
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,32,2
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,47,2
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,62,1
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,80,2
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,95,2
1.0203E+12,1.02031E+16,1,1126.918213,1,3,10,97,2
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,111,2
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,128,2
1.0203E+12,1.02031E+16,1,3237.328369,1,3,10,145,2
1.0203E+12,1.02031E+16,1,1126.918213,1,3,10,152,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,2,2
1.0204E+12,1.02041E+16,1,830.9848022,1,4,17,5,1
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,18,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,33,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,48,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,63,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,78,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,93,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,108,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,123,2
1.0204E+12,1.02041E+16,1,4059.954346,1,4,17,138,2
