household_id,household_id2,rural,pw_w3,saq01,saq03,saq06,saq08,hh_s5cq0a,hh_s5cq04,hh_s5cq05
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Children 0-5 yea,0,0
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Children 6-15 ye,0,0
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Adults 16-65 yea,7,63
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Adults over 65 y,0,0
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Children 0-5 yea,2,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Children 6-15 ye,3,27
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Adults 16-65 yea,2,12
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Adults over 65 y,5,45
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Children 0-5 yea,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Children 6-15 ye,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Adults 16-65 yea,3,20
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,31,Adults over 65 y,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Children 0-5 yea,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Children 6-15 ye,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Adults 16-65 yea,2,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Adults over 65 y,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Children 0-5 yea,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Children 6-15 ye,1,1
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Adults 16-65 yea,1,1
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Adults over 65 y,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Children 0-5 yea,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Children 6-15 ye,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Adults 16-65 yea,2,1
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Adults over 65 y,0,0
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Children 0-5 yea,0,0
