,household_id,household_id2,rural,saq01,saq02,saq03,saq06,saq08,hh_saq09,hh_saq11,hh_saq12
0,1010101601002,10101088801601002,1,1,1,1,16,2,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
1,1010101601017,10101088801601017,1,1,1,1,16,17,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
2,1010101601034,10101088801601034,1,1,1,1,16,34,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
3,1010101601049,10101088801601049,1,1,1,1,16,49,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
4,1010101601064,10101088801601064,1,1,1,1,16,64,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
5,1010101601080,10101088801601080,1,1,1,1,16,80,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
6,1010101601087,10101088801601087,1,1,1,1,16,87,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
7,1010101601101,10101088801601101,1,1,1,1,16,101,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
8,1010101601116,10101088801601116,1,1,1,1,16,116,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
9,1010101601131,10101088801601131,1,1,1,1,16,131,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
10,1010101601146,10101088801601146,1,1,1,1,16,146,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
11,1010201403001,10102088801403001,1,1,1,2,14,1,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
12,1010201403011,10102088801403011,1,1,1,2,14,11,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
13,1010201403016,10102088801403016,1,1,1,2,14,16,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
14,1010201403026,10102088801403026,1,1,1,2,14,26,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
15,1010201403031,10102088801403031,1,1,1,2,14,31,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
16,1010201403036,10102088801403036,1,1,1,2,14,36,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
17,1010201403046,10102088801403046,1,1,1,2,14,46,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
18,1010201403061,10102088801403061,1,1,1,2,14,61,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
19,1010201403091,10102088801403091,1,1,1,2,14,91,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
20,1010201403106,10102088801403106,1,1,1,2,14,106,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
21,1010201403121,10102088801403121,1,1,1,2,14,121,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
22,1010201403136,10102088801403136,1,1,1,2,14,136,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
